YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2021,1,2,2/1/2021 12:00:00 AM,DL,N363DN,1459,ATL,CLE,0820,0813,0.00,0.00,,75.00,554.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N363DN,1459,CLE,ATL,1130,1124,0.00,0.00,,81.00,554.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N369DN,1458,ATL,CLE,1820,1817,0.00,0.00,,79.00,554.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N3744F,1540,ATL,CMH,1233,1325,52.00,0.00,,69.00,447.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,DL,N3744F,1540,CMH,ATL,1518,1545,27.00,0.00,,61.00,447.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,DL,N857DZ,1522,CMH,ATL,0820,0813,0.00,0.00,,66.00,447.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N860DN,2304,ATL,CMH,2200,2159,0.00,0.00,,69.00,447.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N863DN,1504,ATL,CMH,1550,1547,0.00,0.00,,69.00,447.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,DL,N863DN,1504,CMH,ATL,1840,1835,0.00,0.00,,65.00,447.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,DL,N870DN,1583,CMH,ATL,0630,0628,0.00,0.00,,65.00,447.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N921DU,2310,ATL,CMH,1859,1857,0.00,0.00,,69.00,447.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N927AT,2030,ATL,CMH,1023,1013,0.00,0.00,,70.00,447.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N927AT,2030,CMH,ATL,1300,1255,0.00,0.00,,67.00,447.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N982AT,1518,ATL,CMH,0823,0821,0.00,0.00,,69.00,447.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N982AT,1518,CMH,ATL,1100,1056,0.00,0.00,,65.00,447.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N230FR,1045,CLE,MCO,0903,0853,0.00,0.00,,121.00,895.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N308FR,2015,CLE,LAS,1119,1109,0.00,0.00,,253.00,1824.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N347FR,2446,MIA,CLE,1500,1457,0.00,0.00,,141.00,1080.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N347FR,2447,CLE,MIA,1849,1825,0.00,0.00,,138.00,1080.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N366FR,1042,MCO,CLE,1140,1130,0.00,0.00,,117.00,895.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N366FR,2434,TPA,CLE,1825,1817,0.00,0.00,,124.00,927.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N366FR,2435,CLE,TPA,1458,1446,0.00,0.00,,127.00,927.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N367FR,522,DEN,CLE,0630,0621,0.00,0.00,,146.00,1201.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N367FR,523,CLE,DEN,1225,1214,0.00,0.00,,173.00,1201.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N705FR,1043,CLE,MCO,1629,1619,0.00,0.00,,117.00,895.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N705FR,2422,RSW,CLE,1248,1244,0.00,0.00,,140.00,1025.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N705FR,2423,CLE,RSW,0849,0843,0.00,0.00,,133.00,1025.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N706FR,1046,MCO,CLE,1810,1805,0.00,0.00,,124.00,895.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N719FR,1054,MCO,CMH,1557,1555,0.00,0.00,,110.00,802.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N719FR,1055,CMH,MCO,1908,1903,0.00,0.00,,105.00,802.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,229NV,2962,SRQ,CLE,1606,1558,0.00,0.00,,131.00,967.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,229NV,2963,CLE,SRQ,1923,1906,0.00,0.00,,120.00,967.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,248NV,1647,PGD,LCK,1513,1502,0.00,0.00,,125.00,890.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,248NV,1667,LCK,PGD,1816,1824,8.00,0.00,,113.00,890.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,G4,280NV,874,PIE,DAY,1547,1539,0.00,0.00,,115.00,831.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,280NV,876,DAY,PIE,1853,1828,0.00,0.00,,102.00,831.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,305NV,2250,SFB,TOL,1416,1412,0.00,0.00,,117.00,895.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,305NV,2296,TOL,SFB,1731,1708,0.00,0.00,,111.00,895.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,326NV,2141,SFB,LCK,0705,0659,0.00,0.00,,106.00,767.00,
