year,quarter,month,flight_date,reporting_airline,tail_number,flight_number,origin,dest,crs_dep_time,dep_time,dep_delay_minutes,cancelled,cancelletion_code,air_time,distance,weather_delay
2021,1,3,3/1/2021 12:00:00 AM,DL,N364DX,2218,CLE,ATL,0700,0656,0.00,0.00,,98.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N369NW,1445,ATL,CLE,1559,1600,1.00,0.00,,78.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N372NW,8785,ATL,CLE,2056,2122,26.00,0.00,,81.00,554.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,DL,N3739P,1540,ATL,CMH,1233,1230,0.00,0.00,,63.00,447.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N3739P,1540,CMH,ATL,1518,1516,0.00,0.00,,73.00,447.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N396DN,1444,CLE,ATL,0600,0555,0.00,0.00,,86.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N831DN,2310,ATL,CMH,1859,1854,0.00,0.00,,66.00,447.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N867DN,1583,CMH,ATL,0630,0626,0.00,0.00,,74.00,447.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N914DU,2304,ATL,CMH,2200,2159,0.00,0.00,,66.00,447.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N919DU,1522,CMH,ATL,0820,0815,0.00,0.00,,73.00,447.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N922DZ,1504,ATL,CMH,1550,1636,46.00,0.00,,67.00,447.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,DL,N922DZ,1504,CMH,ATL,1840,1844,4.00,0.00,,73.00,447.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N946AT,2030,ATL,CMH,1023,1019,0.00,0.00,,65.00,447.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N946AT,2030,CMH,ATL,1300,1250,0.00,0.00,,74.00,447.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N977AT,1518,ATL,CMH,0823,0821,0.00,0.00,,66.00,447.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N977AT,1518,CMH,ATL,1100,1056,0.00,0.00,,76.00,447.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N318FR,1043,CLE,MCO,0919,0943,24.00,0.00,,122.00,895.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N318FR,2014,LAS,CLE,0046,0037,0.00,0.00,,221.00,1824.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N346FR,2015,CLE,LAS,1019,1107,48.00,0.00,,237.00,1824.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,F9,N351FR,1042,MCO,CLE,1125,1119,0.00,0.00,,120.00,895.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N351FR,2434,TPA,CLE,1825,1825,0.00,0.00,,123.00,927.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N351FR,2435,CLE,TPA,1448,1459,11.00,0.00,,125.00,927.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N361FR,2414,PHX,CLE,0845,0835,0.00,0.00,,197.00,1737.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N361FR,2447,CLE,MIA,1529,1521,0.00,0.00,,147.00,1080.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N364FR,1054,MCO,CMH,1555,1611,16.00,0.00,,111.00,802.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,F9,N364FR,1055,CMH,MCO,1908,1914,6.00,0.00,,109.00,802.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N366FR,2415,CLE,PHX,1729,1715,0.00,0.00,,240.00,1737.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N366FR,2446,MIA,CLE,1339,1327,0.00,0.00,,141.00,1080.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N705FR,1045,CLE,MCO,1620,1612,0.00,0.00,,117.00,895.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N705FR,2424,RSW,CLE,1239,1234,0.00,0.00,,129.00,1025.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N705FR,2425,CLE,RSW,0840,0854,14.00,0.00,,143.00,1025.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N719FR,1044,MCO,CLE,1745,1736,0.00,0.00,,123.00,895.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,216NV,2295,TOL,SFB,1608,1740,92.00,0.00,,115.00,895.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,G4,216NV,2356,SFB,TOL,1257,1426,89.00,0.00,,138.00,895.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,G4,252NV,1553,DAY,PGD,1459,1448,0.00,0.00,,128.00,904.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,252NV,1575,PGD,DAY,1145,1138,0.00,0.00,,133.00,904.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,252NV,1619,LCK,PGD,2107,2119,12.00,0.00,,110.00,890.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,252NV,1643,PGD,LCK,1806,1805,0.00,0.00,,126.00,890.00,
