YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2021,2,4,4/1/2021 12:00:00 AM,DL,N366DX,1459,ATL,CLE,0803,0758,0.00,0.00,,73.00,554.00,
2021,2,4,4/1/2021 12:00:00 AM,DL,N366DX,1459,CLE,ATL,1105,1059,0.00,0.00,,81.00,554.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,DL,N872DN,1522,CMH,ATL,0730,0725,0.00,0.00,,70.00,447.00,
2021,2,4,4/1/2021 12:00:00 AM,DL,N895DN,2566,ATL,CMH,2045,2043,0.00,0.00,,71.00,447.00,
2021,2,4,4/1/2021 12:00:00 AM,DL,N927AT,1504,ATL,CMH,1531,1649,78.00,0.00,,72.00,447.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,DL,N927AT,1645,CMH,ATL,1808,1856,48.00,0.00,,59.00,447.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,DL,N928AT,1505,CLE,ATL,1304,1316,12.00,0.00,,84.00,554.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,DL,N928AT,2290,ATL,CLE,1010,1006,0.00,0.00,,77.00,554.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,DL,N944AT,1664,CMH,ATL,1938,1931,0.00,0.00,,61.00,447.00,
2021,2,4,4/1/2021 12:00:00 AM,DL,N944AT,2393,ATL,CMH,1700,1657,0.00,0.00,,73.00,447.00,
2021,2,4,4/1/2021 12:00:00 AM,DL,N974AT,2030,ATL,CMH,1005,1003,0.00,0.00,,66.00,447.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,DL,N974AT,2030,CMH,ATL,1247,1259,12.00,0.00,,69.00,447.00,
2021,2,4,4/1/2021 12:00:00 AM,DL,N977AT,1540,ATL,CMH,1356,1351,0.00,0.00,,68.00,447.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,DL,N977AT,1540,CMH,ATL,1632,1626,0.00,0.00,,64.00,447.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N228FR,2415,CLE,PHX,1125,1118,0.00,0.00,,241.00,1737.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N232FR,2424,RSW,CLE,2044,2030,0.00,0.00,,137.00,1025.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N304FR,254,DEN,CMH,0650,0640,0.00,0.00,,140.00,1154.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N304FR,255,CMH,DEN,1224,1235,11.00,0.00,,162.00,1154.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N338FR,2414,PHX,CLE,1601,1613,12.00,0.00,,208.00,1737.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N338FR,522,DEN,CLE,0605,0603,0.00,0.00,,155.00,1201.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N338FR,523,CLE,DEN,1153,1156,3.00,0.00,,169.00,1201.00,3.00
2021,2,4,4/1/2021 12:00:00 AM,F9,N347FR,2014,LAS,CLE,0049,0041,0.00,0.00,,215.00,1824.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N347FR,2447,CLE,MIA,0955,0947,0.00,0.00,,143.00,1080.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N349FR,1042,MCO,CLE,1119,1108,0.00,0.00,,117.00,895.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N349FR,2015,CLE,LAS,2201,2155,0.00,0.00,,244.00,1824.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N349FR,2434,TPA,CLE,1820,1828,8.00,0.00,,122.00,927.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N349FR,2435,CLE,TPA,1501,1448,0.00,0.00,,124.00,927.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N368FR,1043,CLE,MCO,0859,0857,0.00,0.00,,123.00,895.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,F9,N717FR,1054,MCO,CMH,1505,1457,0.00,0.00,,110.00,802.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N717FR,1055,CMH,MCO,1915,1905,0.00,0.00,,106.00,802.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N718FR,1045,CLE,MCO,1436,1454,18.00,0.00,,118.00,895.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,F9,N718FR,2422,RSW,CLE,1046,1110,24.00,0.00,,140.00,1025.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,F9,N718FR,2423,CLE,RSW,0715,0714,0.00,0.00,,143.00,1025.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,F9,N722FR,1044,MCO,CLE,1615,1615,0.00,0.00,,121.00,895.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,224NV,2329,DAY,SFB,2135,2241,66.00,0.00,,106.00,785.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,G4,224NV,2356,SFB,DAY,1834,1951,77.00,0.00,,119.00,785.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,G4,229NV,1003,BNA,CLE,0600,0551,0.00,0.00,,63.00,448.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,229NV,1073,CLE,BNA,0914,0857,0.00,0.00,,76.00,448.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,243NV,1705,LCK,FLL,1848,2051,123.00,0.00,,123.00,961.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,G4,243NV,1776,FLL,LCK,1526,1738,132.00,0.00,,138.00,961.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,G4,244NV,2062,LCK,SRQ,0930,0928,0.00,0.00,,138.00,856.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,G4,244NV,2067,SRQ,LCK,0631,0635,4.00,0.00,,108.00,856.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,246NV,1571,CLE,PGD,2102,2127,25.00,0.00,,128.00,999.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,G4,246NV,1587,PGD,CLE,1739,1819,40.00,0.00,,133.00,999.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,G4,260NV,819,PIE,LCK,1109,1059,0.00,0.00,,112.00,821.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,260NV,902,LCK,PIE,1404,1413,9.00,0.00,,114.00,821.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,280NV,816,PIE,TOL,1753,1743,0.00,0.00,,121.00,945.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,280NV,978,TOL,PIE,2108,2045,0.00,0.00,,119.00,945.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,283NV,2052,SRQ,CLE,1411,1409,0.00,0.00,,127.00,967.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,283NV,2082,CLE,SRQ,1728,1725,0.00,0.00,,126.00,967.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,305NV,2510,LCK,CHS,0951,0952,1.00,0.00,,76.00,503.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,305NV,2521,CHS,LCK,1208,1207,0.00,0.00,,78.00,503.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,305NV,2525,SAV,LCK,0730,0738,8.00,0.00,,80.00,539.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,305NV,2549,LCK,SAV,1425,1422,0.00,0.00,,77.00,539.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,329NV,2514,CLE,SAV,1440,1445,5.00,0.00,,89.00,641.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,329NV,2534,SAV,CLE,1158,1215,17.00,0.00,,87.00,641.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N201NN,3679,DFW,CLE,1845,1843,0.00,0.00,,139.00,1021.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N202NN,3868,CLE,DFW,1115,1110,0.00,0.00,,138.00,1021.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N205NN,3719,CLE,DFW,0720,0737,17.00,0.00,,145.00,1021.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,MQ,N205NN,3772,DFW,DAY,2035,2035,0.00,0.00,,114.00,861.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N206NN,3740,DFW,CLE,1445,1443,0.00,0.00,,134.00,1021.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N208AN,4053,CMH,DFW,0935,0930,0.00,0.00,,129.00,926.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N221NN,3613,DAY,DFW,0600,0558,0.00,0.00,,131.00,861.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N226NN,4446,CMH,ORD,0715,0716,1.00,0.00,,58.00,296.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N235NN,4254,DCA,CLE,2130,2124,0.00,0.00,,54.00,310.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N257NN,4210,CLE,DCA,0626,0625,0.00,0.00,,55.00,310.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N259NN,4336,CLE,DFW,1551,1545,0.00,0.00,,146.00,1021.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N259NN,4336,DFW,CLE,1055,1125,30.00,0.00,,131.00,1021.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N266NN,3917,DFW,CMH,1650,1646,0.00,0.00,,126.00,926.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N270NN,4100,DAY,DFW,1221,1220,0.00,0.00,,123.00,861.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,MQ,N270NN,4100,DFW,DAY,0829,0828,0.00,0.00,,113.00,861.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N280NN,3838,DAY,DFW,1620,1619,0.00,0.00,,132.00,861.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N280NN,3838,DFW,DAY,1227,1225,0.00,0.00,,120.00,861.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N284JN,3518,ORD,CMH,1910,1905,0.00,0.00,,45.00,296.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N284JN,4453,CMH,ORD,1150,1145,0.00,0.00,,61.00,296.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N285NN,4135,DFW,CMH,1450,1448,0.00,0.00,,126.00,926.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N298FR,3832,CMH,DFW,1145,1141,0.00,0.00,,121.00,926.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N298FR,4394,ORD,CMH,0840,0834,0.00,0.00,,47.00,296.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N607AE,3798,MIA,CMH,1923,1921,0.00,0.00,,152.00,990.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,MQ,N664MS,3969,CLE,ORD,1720,1714,0.00,0.00,,66.00,315.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N664MS,3979,ORD,CLE,1330,1326,0.00,0.00,,52.00,315.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N673AE,3775,CMH,MIA,0650,0647,0.00,0.00,,137.00,990.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N673AE,4150,CMH,MIA,1432,1439,7.00,0.00,,142.00,990.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N673AE,4449,MIA,CMH,1040,1035,0.00,0.00,,137.00,990.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N694AE,4175,ORD,CMH,1325,1319,0.00,0.00,,47.00,296.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N694AE,4452,CMH,ORD,1715,1711,0.00,0.00,,59.00,296.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N697AB,4310,ORD,DAY,1910,1903,0.00,0.00,,40.00,240.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N933JN,4327,DAY,ORD,0725,0713,0.00,0.00,,53.00,240.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N534NK,2040,FLL,CMH,0900,1147,167.00,0.00,,132.00,973.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N534NK,2041,CMH,FLL,1221,1514,173.00,0.00,,133.00,973.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N605NK,177,CLE,TPA,1817,1842,25.00,0.00,,118.00,927.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N605NK,534,MCO,CLE,1454,1505,11.00,0.00,,121.00,895.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N618NK,2710,RSW,CAK,1720,1711,0.00,0.00,,133.00,991.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N618NK,2711,CAK,RSW,2046,2109,23.00,0.00,,127.00,991.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N619NK,306,LAS,CMH,2310,2322,12.00,0.00,,206.00,1771.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N626NK,1646,FLL,CLE,0800,1237,277.00,0.00,,140.00,1062.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N626NK,708,CLE,MCO,1137,1646,309.00,0.00,,119.00,895.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N632NK,1494,CLE,MSY,0717,0826,69.00,0.00,,128.00,917.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N632NK,1495,MSY,CLE,0944,1110,86.00,0.00,,121.00,917.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N632NK,1625,CLE,FLL,1915,2102,107.00,0.00,,137.00,1062.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N632NK,251,CLE,ATL,1345,1538,113.00,0.00,,75.00,554.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N632NK,252,ATL,CLE,1632,1832,120.00,0.00,,82.00,554.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N652NK,440,FLL,CLE,1931,2202,151.00,0.00,,141.00,1062.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N652NK,445,CMH,FLL,0600,1028,268.00,0.00,,132.00,973.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N676NK,1913,MCO,CLE,1216,1215,0.00,0.00,,121.00,895.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N676NK,1914,CLE,MCO,1537,1631,54.00,0.00,,116.00,895.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N687NK,1629,MCO,CMH,1416,,,1.00,D,,802.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N687NK,1630,CMH,MCO,1726,,,1.00,D,,802.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N692NK,386,MCO,CAK,1515,1644,89.00,0.00,,116.00,861.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N692NK,387,CAK,MCO,1825,2004,99.00,0.00,,111.00,861.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N695NK,2634,CMH,TPA,1700,1650,0.00,0.00,,110.00,829.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N695NK,2758,TPA,CMH,1350,1349,0.00,0.00,,110.00,829.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N698NK,184,LAX,CLE,2150,2152,2.00,0.00,,235.00,2052.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N910NK,492,FLL,CMH,2045,2122,37.00,0.00,,133.00,973.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N916NK,1168,LAS,CLE,2321,2315,0.00,0.00,,209.00,1824.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N917NK,178,TPA,CLE,1301,1258,0.00,0.00,,124.00,927.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N917NK,185,CLE,LAX,1614,1648,34.00,0.00,,276.00,2052.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N918NK,2669,RSW,CLE,0937,0946,9.00,0.00,,134.00,1025.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N918NK,2670,CLE,RSW,0600,0554,0.00,0.00,,143.00,1025.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N918NK,419,CLE,FLL,1307,1315,8.00,0.00,,142.00,1062.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N919NK,1069,CLE,LAS,0730,0729,0.00,0.00,,238.00,1824.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N926NK,1672,MCO,CMH,0930,0929,0.00,0.00,,106.00,802.00,
2021,2,4,4/1/2021 12:00:00 AM,NK,N926NK,1674,CMH,RSW,1240,1525,165.00,0.00,,128.00,930.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N926NK,1675,RSW,CMH,1550,1828,158.00,0.00,,127.00,930.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N926NK,205,CMH,LAS,2030,2205,95.00,0.00,,228.00,1771.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,NK,N934NK,1673,CMH,MCO,0745,0754,9.00,0.00,,110.00,802.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N506AE,5052,DAY,PHL,0615,0615,0.00,0.00,,74.00,477.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N517AE,5440,CAK,PHL,0600,0557,0.00,0.00,,53.00,335.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N518AE,5371,CLT,CAK,1819,1817,0.00,0.00,,65.00,394.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N522AE,5246,CAK,CLT,1205,1203,0.00,0.00,,69.00,394.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N522AE,5246,CLT,CAK,0930,0926,0.00,0.00,,59.00,394.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N523AE,5120,PHL,CAK,2035,2033,0.00,0.00,,59.00,335.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N526EA,5447,CAK,CLT,1532,1527,0.00,0.00,,76.00,394.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,OH,N526EA,5447,CLT,CAK,1305,1303,0.00,0.00,,70.00,394.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N527EA,5687,PHL,DAY,2115,2107,0.00,0.00,,72.00,477.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N532EA,5580,CLT,DAY,1649,1646,0.00,0.00,,63.00,370.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N537EA,5079,DAY,CLT,1328,1321,0.00,0.00,,70.00,370.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N538EG,5402,CAK,CLT,1010,1001,0.00,0.00,,68.00,394.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N545PB,5081,CLE,CLT,1005,1006,1.00,0.00,,80.00,430.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,OH,N545PB,5081,CLT,CLE,0735,0731,0.00,0.00,,61.00,430.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N553NN,5483,CLT,DAY,2014,2022,8.00,0.00,,65.00,370.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N555NN,5495,CAK,CLT,0629,0628,0.00,0.00,,83.00,394.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N567NN,5433,CLT,DAY,1855,1852,0.00,0.00,,62.00,370.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N570NN,5186,CLT,CMH,1510,1504,0.00,0.00,,53.00,347.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N570NN,5186,CMH,CLT,1729,1721,0.00,0.00,,58.00,347.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N576NN,5698,CLE,CLT,1211,1207,0.00,0.00,,72.00,430.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N576NN,5698,CLT,CLE,0900,0856,0.00,0.00,,88.00,430.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N581NN,5234,DAY,CLT,0630,0622,0.00,0.00,,71.00,370.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N583NN,5675,DAY,CLT,1023,1013,0.00,0.00,,78.00,370.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N586NN,5056,DAY,CLT,0749,0741,0.00,0.00,,60.00,370.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N588NN,5129,CAK,CLT,1926,1923,0.00,0.00,,64.00,394.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N588NN,5129,CLT,CAK,1640,1645,5.00,0.00,,63.00,394.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N589NN,5343,CLT,DAY,1324,1317,0.00,0.00,,61.00,370.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N605NN,5273,CLT,CAK,2230,2224,0.00,0.00,,63.00,394.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N608NN,5405,CLE,CLT,1538,1528,0.00,0.00,,79.00,430.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N608NN,5405,CLT,CLE,1320,1312,0.00,0.00,,64.00,430.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N709PS,5073,PHL,CLE,1440,1437,0.00,0.00,,64.00,363.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N709PS,5076,CLE,PHL,1801,1753,0.00,0.00,,63.00,363.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N271SY,3926,CLE,MSP,1628,1625,0.00,0.00,,104.00,622.00,
